COUNTRY,FECHA,CONTAGIADOS,FALLECIDOS,RECUPERADOS,HOSPITALIZADOS,UCIs,IP,R0_7
BOLIVIA,08/03/2020,1,0,0,0,,1,
BOLIVIA,09/03/2020,1,0,0,0,,1,
BOLIVIA,10/03/2020,5,0,0,0,,5,
BOLIVIA,11/03/2020,3,0,0,0,,3,
BOLIVIA,12/03/2020,0,0,0,0,,0,
BOLIVIA,13/03/2020,2,0,0,0,,2,
BOLIVIA,14/03/2020,0,0,0,0,,0,
BOLIVIA,15/03/2020,1,0,0,0,,1,
BOLIVIA,16/03/2020,1,0,0,0,,1,
BOLIVIA,17/03/2020,1,0,0,0,,1,
BOLIVIA,18/03/2020,3,0,0,0,,3,
BOLIVIA,19/03/2020,2,0,0,0,,2,
BOLIVIA,20/03/2020,7,0,0,0,,7,
BOLIVIA,21/03/2020,3,0,0,0,,3,
BOLIVIA,22/03/2020,0,0,0,0,,0,
BOLIVIA,23/03/2020,1,0,0,0,,1,
BOLIVIA,24/03/2020,1,0,0,0,,1,
BOLIVIA,25/03/2020,7,0,0,0,,7,
BOLIVIA,26/03/2020,22,0,0,0,,22,
BOLIVIA,27/03/2020,13,0,0,0,,13,
BOLIVIA,28/03/2020,7,0,0,0,,7,
BOLIVIA,29/03/2020,7,3,0,0,,10,
BOLIVIA,30/03/2020,11,3,0,0,,14,
BOLIVIA,31/03/2020,8,1,0,0,,9,
BOLIVIA,01/04/2020,8,1,0,0,,9,
BOLIVIA,02/04/2020,9,1,0,0,,10,
BOLIVIA,03/04/2020,7,1,1,0,,7,
BOLIVIA,04/04/2020,18,0,1,0,,17,
BOLIVIA,05/04/2020,26,1,0,0,,27,
BOLIVIA,06/04/2020,11,3,0,0,,14,
BOLIVIA,07/04/2020,16,1,0,,,17,
BOLIVIA,07/04/2020,16,3,0,0,,19,
BOLIVIA,08/04/2020,54,1,0,,,55,
BOLIVIA,09/04/2020,4,1,0,,,5,
BOLIVIA,10/04/2020,7,1,0,,,8,
BOLIVIA,11/04/2020,25,4,0,,,29,
BOLIVIA,12/04/2020,30,3,0,,,33,
BOLIVIA,13/04/2020,24,1,4,,,21,
BOLIVIA,14/04/2020,43,0,1,,,42,
BOLIVIA,15/04/2020,44,1,7,,,38,
BOLIVIA,16/04/2020,24,2,12,,,14,
BOLIVIA,17/04/2020,28,0,5,,,23,
BOLIVIA,18/04/2020,27,1,0,,,28,
BOLIVIA,19/04/2020,44,1,0,,,45,
BOLIVIA,20/04/2020,34,1,6,,,29,
BOLIVIA,21/04/2020,11,3,7,,,7,
BOLIVIA,22/04/2020,63,3,0,,,66,
BOLIVIA,23/04/2020,31,3,10,,,24,
BOLIVIA,24/04/2020,104,1,9,,,96,
BOLIVIA,25/04/2020,59,2,12,,,49,
BOLIVIA,26/04/2020,84,4,6,,,82,
BOLIVIA,27/04/2020,64,3,19,,,48,
BOLIVIA,28/04/2020,39,2,29,,,12,
BOLIVIA,29/04/2020,57,4,7,,,54,
BOLIVIA,30/04/2020,57,1,5,,,53,
BOLIVIA,01/05/2020,62,6,2,,,66,
BOLIVIA,02/05/2020,241,11,25,,,227,
BOLIVIA,03/05/2020,124,5,7,,,122,
BOLIVIA,04/05/2020,87,6,8,,,85,
BOLIVIA,05/05/2020,121,4,13,,,112,
BOLIVIA,06/05/2020,84,5,11,,,78,
BOLIVIA,07/05/2020,195,11,21,,,185,
